question,answer,category,button_text,button_href
¿Qué actividades hay disponibles para cónyuges que no asisten al congreso?,"Puerto Iguazú y sus alrededores ofrecen una fantástica variedad de actividades y excursiones. Desde visitar las mundialmente famosas Cataratas del Iguazú hasta explorar parques de aves, minas de piedras preciosas y misiones jesuíticas históricas, hay mucho que ver y hacer. Consulte nuestras opciones de excursiones para ideas sobre qué explorar durante su estadía.",general,Ver Excursiones,/es/program
¿Dónde puedo encontrar más información?,"Visite el sitio web del WRC, el sitio web de IRF, y síganos en Facebook, Instagram, LinkedIn y los canales de redes sociales de SIGUNARA.",general,,
¿Hay limitaciones en las inscripciones?,"Sí. Máximo 600 asistentes en total, 75 por región y 150 para la región anfitriona (Argentina). La inscripción es individual y personal, intransferible.",registration,,
¿Qué métodos de pago se aceptan?,Argentina: Mercado Pago (ARS) o transferencia bancaria. Internacional: PayPal (USD). Aconsejamos evitar American Express y Mastercard debido a las altas comisiones. Se recomienda la transferencia bancaria para los delegados sudamericanos.,payment,,
¿Puedo ser voluntario en el Congreso?,"¡Sí! Estamos aceptando voluntarios, especialmente personas multilingües. Contacte a wrc@internationalrangers.org para más información.",general,Contáctenos,mailto:wrc@internationalrangers.org
¿Cómo funciona el patrocinio?,"El patrocinio de guardaparques ayuda a financiar la asistencia de guardaparques de todo el mundo al congreso. Los patrocinadores contribuyen con la inscripción ($395), viaje (~$1,000) y alojamiento (~$650) de un guardaparque. Si se dispone de financiamiento, se distribuye de manera justa y equitativa, teniendo en cuenta la región, el género, los Pueblos Indígenas y Comunidades Locales (IPLC) y si el delegado es ponente.",sponsorship,Patrocinar un Guardaparque,https://forms.gle/L7Ep5gy3X34wV9yq5
¿Puede mi pareja alojarse en el hotel sin asistir al congreso?,Sí. Las parejas pueden reservar alojamiento por separado en el Hotel Amerian Portal del Iguazú contactando a reservasiguazu@amerian.com.,accommodation,,
¿Puede mi pareja asistir al congreso conmigo?,Sí. Su pareja paga la misma tarifa de inscripción de $395 y puede reservar alojamiento junto con usted.,registration,,
¿Puedo obtener una habitación privada?,"Sí. La tarifa estándar en el Hotel Amerian Portal del Iguazú es de USD 130 + IVA por habitación por noche, aplicable a ocupación individual o doble. Reserve directamente en reservasiguazu@amerian.com.",accommodation,,
¿Puedo asistir sin alojarme en el hotel del congreso?,"Sí. Hay numerosas opciones de alojamiento disponibles en Puerto Iguazú, desde hostels hasta hoteles de 5 estrellas, a poca distancia a pie del Centro de Convenciones.",accommodation,,
¿Puedo alojarme en un alojamiento alternativo?,"Sí, hay alojamiento alternativo disponible en Puerto Iguazú a poca distancia a pie del Centro de Convenciones. Sin embargo, el transporte y las comidas serán por su cuenta.",accommodation,,
¿Quién es la IRF?,"La International Ranger Federation es una organización mundial sin fines de lucro basada en membresías, establecida en 1992, que representa a guardaparques en más de 50 países en 6 continentes y 7 regiones.",general,,
¿Quién es SIGUNARA?,"El Sindicato de Guardaparques Nacionales de la República Argentina (SIGUNARA), establecido en 1990, es el sindicato de Guardaparques Nacionales de Argentina reconocido por el Gobierno Nacional.",general,,
¿Cuál es el mejor método de pago?,Aconsejamos evitar American Express y Mastercard debido a las altas comisiones internacionales. Se recomienda la transferencia bancaria para los delegados sudamericanos.,payment,,
¿Hay cupones de donación disponibles?,"Las opciones de donación se están finalizando. Por favor, vuelva a consultar para obtener actualizaciones.",sponsorship,,
¿Qué es el Congreso Mundial de Guardaparques?,"El WRC es una iniciativa de la International Ranger Federation, co-organizado con una asociación local de guardaparques, que se celebra cada 3-4 años en una región global diferente.",general,,
¿Cuáles son los detalles del congreso?,"El 11.° Congreso Mundial de Guardaparques de la IRF se lleva a cabo en Puerto Iguazú, Misiones, Argentina, del 19 al 23 de abril de 2027, con hasta 600 guardaparques y profesionales de la conservación.",general,,
¿Cuál es el tema del congreso?,"""Reconociendo a los Guardaparques: Avanzando la profesión para salvaguardar nuestro futuro"" — enfocándose en mejores condiciones de trabajo, mejor equipamiento y capacitación, y empoderando a los guardaparques para la protección de la biodiversidad.",general,,
¿Cuáles son los objetivos del congreso?,"Desarrollo de habilidades, intercambio de conocimientos, construcción de alianzas y búsqueda de vías estratégicas de conservación a través de cuatro pilares clave: Reconocimiento de Guardaparques y 30x30, Experiencias de Guardaparques, Soluciones de Guardaparques y la Declaración de Guardaparques.",general,,
¿Hay oportunidades de inversión?,"Sí. Los niveles de patrocinio del congreso están disponibles: Platino, Oro, Plata y Bronce. Descargue el prospecto de patrocinio para conocer todos los detalles.",sponsorship,Descargar Prospecto,https://tinyurl.com/2s9jyz6d
¿Cómo puedo patrocinar a un guardaparque?,"Complete el formulario de Patrocinar a un Guardaparque para expresar su interés. El costo estimado total por guardaparque es de aproximadamente $2,045 (Inscripción $395, Viaje ~$1,000, Alojamiento ~$650). Cada contribución marca la diferencia para apoyar a guardaparques de regiones subrepresentadas.",sponsorship,Patrocinar un Guardaparque,https://forms.gle/L7Ep5gy3X34wV9yq5
